,rms,std,skewness,peak_to_peak,qcd,kurtosis,iqr,variance,crest_factor
rms,1.0,0.9999999942408084,0.3257080933858139,0.9297595201426802,-0.007552228021547455,0.21748613446725998,0.9847195489692012,0.9881183627511007,0.17012763721192614
std,0.9999999942408084,1.0,0.32570632547896256,0.92976154664775,-0.007551009086159323,0.21751456811004513,0.9847181960022043,0.9881091587119433,0.17012124618007296
skewness,0.3257080933858139,0.32570632547896256,1.0,0.27381026822134,-0.15986508924640733,0.12402074054929312,0.3200102502591573,0.2596045866134702,0.21087083004362847
peak_to_peak,0.9297595201426802,0.92976154664775,0.27381026822134,1.0,0.013603898407040634,0.5189292095587217,0.8592587133829884,0.9303871810793946,0.48785591485443747
qcd,-0.007552228021547455,-0.007551009086159323,-0.15986508924640733,0.013603898407040634,1.0,0.03399143513761852,-0.015832452562716506,0.0006598830651918489,0.06456449483028888
kurtosis,0.21748613446725998,0.21751456811004513,0.12402074054929312,0.5189292095587217,0.03399143513761852,1.0,0.055010993906376676,0.2315752453883671,0.7934056515147937
iqr,0.9847195489692012,0.9847181960022043,0.3200102502591573,0.8592587133829884,-0.015832452562716506,0.055010993906376676,1.0,0.967472427508715,0.036716562103394884
variance,0.9881183627511007,0.9881091587119433,0.2596045866134702,0.9303871810793946,0.0006598830651918489,0.2315752453883671,0.967472427508715,1.0,0.18974977847279187
crest_factor,0.17012763721192614,0.17012124618007296,0.21087083004362847,0.48785591485443747,0.06456449483028888,0.7934056515147937,0.036716562103394884,0.18974977847279187,1.0
