dataset,record_id,reconstruction_mse,is_anomaly
AGR.561,71,1.8188786187170742,True
AGR.361,44,1.7724010524432185,True
AGR.361,87,1.7724010524432185,True
AGR.561,50,1.1314952228891204,True
AGR.561,67,0.4284321609806588,True
AGR.561,39,0.2931384635453364,False
AGR.361,86,0.22523637987386777,False
AGR.361,69,0.20965850803629843,False
AGR.361,55,0.1927282426178704,False
AGR.361,29,0.19237642637383523,False
AGR.361,84,0.19237642637383523,False
BIS.361,28,0.17032321739197015,False
BIS.361,22,0.15089586297706054,False
AGR.561,24,0.1358279092982938,False
AGR.561,74,0.13527263903260334,False
AGR.561,95,0.13310205247084972,False
BIS.361,39,0.1283629034518559,False
AGR.361,13,0.12818499431857117,False
AGR.361,2,0.11296613053991378,False
AGR.561,38,0.10887203451386071,False
